DATAFLOW,LAST UPDATE,freq,unit,sex,age,isco08,worktime,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2014-Q4,2.0,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2015-Q1,1.4,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2015-Q2,1.2,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2015-Q3,1.2,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2015-Q4,0.9,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2016-Q1,1.3,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2016-Q2,1.4,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2016-Q3,1.3,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2016-Q4,2.3,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2017-Q1,2.3,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2017-Q2,1.9,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2017-Q3,1.3,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2017-Q4,,c
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2018-Q1,,c
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2018-Q2,,c
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2018-Q3,,c
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2018-Q4,,c
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2019-Q1,1.1,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2019-Q2,1.1,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2019-Q3,0.9,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2019-Q4,1.8,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2020-Q1,2.2,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2020-Q2,1.7,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2020-Q3,1.4,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2020-Q4,2.0,u
ESTAT:LFSQ_EPGAIS(1.0),16/11/22 23:00:00,Q,THS,F,Y15-64,OC0,FT,CZ,2021-Q1,2.0,bu
