DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PL,2012,21.8,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PL,2013,21.7,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PL,2014,21.5,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PL,2015,18.6,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PL,2016,15.8,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PL,2017,15.6,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PL,2018,20.0,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PL,2019,17.9,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PL,2020,15.8,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PT,2009,-8.9,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PT,2010,-12.3,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PT,2011,-15.3,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PT,2012,-18.7,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PT,2013,-21.8,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PT,2014,-26.6,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PT,2015,-17.6,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PT,2016,-16.2,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PT,2017,-8.9,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PT,2018,-4.7,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PT,2019,-11.8,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,PT,2020,-11.5,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,RO,2009,4.1,d
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,RO,2010,-13.9,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,RO,2011,-11.2,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,RO,2012,-12.2,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,RO,2013,-9.7,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,RO,2014,-9.5,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,RO,2015,-10.7,e
